CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Monday 01 January 2018
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),895,890,435,299,181,87,59,107,109,312,1127,1679,2192,2679,2897,2919,2898,2521,2096,1585,879,761,325,153
Bourke Street Mall (South),734,590,317,193,115,70,39,48,64,294,728,1326,1663,2014,2092,2224,2078,1624,1223,683,367,363,146,80
Melbourne Central,2996,3481,1721,1056,417,222,110,180,205,326,548,838,1280,1656,1726,1941,1823,1807,1994,1947,1793,1355,879,531
Town Hall (West),3052,3204,2042,1021,523,212,122,171,260,447,942,1540,1802,2239,2581,2648,2393,2171,1953,1459,1254,988,550,243
Princes Bridge,1757,3900,2012,873,563,495,176,167,202,471,949,1707,2160,2486,2727,2913,2732,2453,1995,1709,1634,1330,1041,473
Flinders Street Station Underpass,3443,3579,3157,1907,1136,683,457,327,422,509,927,1227,1700,1639,1697,2006,1839,1776,1740,1482,1432,1337,915,692
Birrarung Marr,1828,1143,501,184,138,94,80,65,106,119,204,362,439,447,401,409,418,403,376,284,186,95,45,58
Webb Bridge,605,261,122,57,20,17,13,30,50,97,193,239,276,285,281,230,258,244,211,147,140,114,51,42
Southern Cross Station,1411,436,222,128,59,36,43,44,56,86,122,121,116,96,122,151,98,128,142,112,108,92,70,65
Victoria Point,963,355,208,133,25,22,6,9,33,43,89,113,120,79,82,99,144,120,107,83,86,78,44,23
Waterfront City,1381,400,162,197,40,3,12,5,14,45,107,169,208,271,205,226,246,210,223,219,194,130,83,54
New Quay,3646,1219,507,466,116,26,32,31,130,225,329,641,714,851,752,714,697,734,827,765,737,427,207,99
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,260,1478,1467,956,601,445,213,140,143,154,323,401,490,514,611,589,566,565,554,449,518,399,322,305
State Library,1709,1511,666,301,181,72,46,60,90,191,300,438,719,952,1056,1102,1101,1158,1112,904,828,646,384,210
Collins St (North),1129,626,226,209,118,44,44,76,89,207,489,731,773,969,924,973,750,529,465,338,296,274,167,78
